ts,freeholdRacewayMallPower,freeholdRacewayMallSchOut,freeholdNJTemp,freeholdNJCondition
2019-05-10T07:00:00-04:00 New_York,190.53663635253906kW,false,62°F,cloudy
2019-05-10T07:15:00-04:00 New_York,203.5787811279297kW,false,62.5°F,cloudy
2019-05-10T07:30:00-04:00 New_York,205.00413513183594kW,false,63°F,cloudy
2019-05-10T07:45:00-04:00 New_York,223.9192352294922kW,false,63.5°F,cloudy
2019-05-10T08:00:00-04:00 New_York,250.0133819580078kW,false,64°F,cloudy
2019-05-10T08:15:00-04:00 New_York,306.8488464355469kW,false,64.5°F,cloudy
2019-05-10T08:30:00-04:00 New_York,450.4834289550781kW,false,65°F,cloudy
2019-05-10T08:45:00-04:00 New_York,645.7454223632812kW,false,65.5°F,cloudy
2019-05-10T09:00:00-04:00 New_York,789.0330200195312kW,false,66°F,cloudy
2019-05-10T09:15:00-04:00 New_York,833.0028686523438kW,false,66.75°F,cloudy
2019-05-10T09:30:00-04:00 New_York,832.3600463867188kW,false,67.5°F,cloudy
2019-05-10T09:45:00-04:00 New_York,981.7290649414062kW,false,68.25°F,cloudy
2019-05-10T10:00:00-04:00 New_York,1171.2197265625kW,true,69°F,cloudy
2019-05-10T10:15:00-04:00 New_York,1235.25341796875kW,true,69.5°F,cloudy
2019-05-10T10:30:00-04:00 New_York,1261.099853515625kW,true,70°F,cloudy
2019-05-10T10:45:00-04:00 New_York,1291.358642578125kW,true,70.5°F,cloudy
2019-05-10T11:00:00-04:00 New_York,1285.9921875kW,true,71°F,cloudy
2019-05-10T11:15:00-04:00 New_York,1331.2830810546875kW,true,71.5°F,cloudy
2019-05-10T11:30:00-04:00 New_York,1343.4071044921875kW,true,72°F,cloudy
2019-05-10T11:45:00-04:00 New_York,1293.8387451171875kW,true,72.5°F,cloudy
2019-05-10T12:00:00-04:00 New_York,1280.9534912109375kW,true,73°F,cloudy
2019-05-10T12:15:00-04:00 New_York,1295.5887451171875kW,true,73.5°F,cloudy
2019-05-10T12:30:00-04:00 New_York,1305.9749755859375kW,true,74°F,cloudy
2019-05-10T12:45:00-04:00 New_York,1386.329833984375kW,true,74.5°F,cloudy
2019-05-10T13:00:00-04:00 New_York,1319.114990234375kW,true,75°F,cloudy
2019-05-10T13:15:00-04:00 New_York,1311.027099609375kW,true,75.25°F,cloudy
2019-05-10T13:30:00-04:00 New_York,1333.3739013671875kW,true,75.5°F,cloudy
2019-05-10T13:45:00-04:00 New_York,1338.267333984375kW,true,75.75°F,cloudy
2019-05-10T14:00:00-04:00 New_York,1335.3299560546875kW,true,76°F,cloudy
2019-05-10T14:15:00-04:00 New_York,1362.0489501953125kW,true,76.25°F,cloudy
2019-05-10T14:30:00-04:00 New_York,1385.398193359375kW,true,76.5°F,cloudy
2019-05-10T14:45:00-04:00 New_York,1395.4571533203125kW,true,76.75°F,cloudy
2019-05-10T15:00:00-04:00 New_York,1396.8709716796875kW,true,77°F,cloudy
2019-05-10T15:15:00-04:00 New_York,1451.00634765625kW,true,74.75°F,cloudy
2019-05-10T15:30:00-04:00 New_York,1453.733642578125kW,true,72.5°F,cloudy
2019-05-10T15:45:00-04:00 New_York,1462.7255859375kW,true,70.25°F,cloudy
2019-05-10T16:00:00-04:00 New_York,1446.7735595703125kW,true,68°F,showers
2019-05-10T16:15:00-04:00 New_York,1449.39111328125kW,true,68.25°F,showers
2019-05-10T16:30:00-04:00 New_York,1489.62646484375kW,true,68.5°F,showers
2019-05-10T16:45:00-04:00 New_York,1509.6065673828125kW,true,68.75°F,showers
2019-05-10T17:00:00-04:00 New_York,1624.0228271484375kW,true,69°F,cloudy
2019-05-10T17:15:00-04:00 New_York,1649.123046875kW,true,69.25°F,cloudy
2019-05-10T17:30:00-04:00 New_York,1712.077880859375kW,true,69.5°F,cloudy
2019-05-10T17:45:00-04:00 New_York,1610.6802978515625kW,true,69.75°F,cloudy
2019-05-10T18:00:00-04:00 New_York,1632.6031494140625kW,true,70°F,cloudy
2019-05-10T18:15:00-04:00 New_York,1726.3626708984375kW,true,70°F,cloudy
2019-05-10T18:30:00-04:00 New_York,1813.3648681640625kW,true,70°F,cloudy
2019-05-10T18:45:00-04:00 New_York,1807.8717041015625kW,true,70°F,cloudy
2019-05-10T19:00:00-04:00 New_York,1829.3604736328125kW,true,70°F,cloudy
2019-05-10T19:15:00-04:00 New_York,1862.6119384765625kW,true,69.75°F,cloudy
2019-05-10T19:30:00-04:00 New_York,1849.33154296875kW,true,69.5°F,cloudy
2019-05-10T19:45:00-04:00 New_York,1830.42578125kW,true,69.25°F,cloudy
2019-05-10T20:00:00-04:00 New_York,1789.751220703125kW,true,69°F,partlyCloudy
2019-05-10T20:15:00-04:00 New_York,1771.159912109375kW,true,68.75°F,partlyCloudy
2019-05-10T20:30:00-04:00 New_York,1723.8404541015625kW,true,68.5°F,partlyCloudy
2019-05-10T20:45:00-04:00 New_York,1656.269775390625kW,true,68.25°F,partlyCloudy
2019-05-10T21:00:00-04:00 New_York,1548.098388671875kW,true,68°F,partlyCloudy
2019-05-10T21:15:00-04:00 New_York,1520.0582275390625kW,false,67.75°F,partlyCloudy
2019-05-10T21:30:00-04:00 New_York,1203.597412109375kW,false,67.5°F,partlyCloudy
2019-05-10T21:45:00-04:00 New_York,740.5591430664062kW,false,67.25°F,partlyCloudy
2019-05-10T22:00:00-04:00 New_York,625.3792724609375kW,false,67°F,partlyCloudy
2019-05-10T22:15:00-04:00 New_York,557.4278564453125kW,false,66.75°F,partlyCloudy
2019-05-10T22:30:00-04:00 New_York,516.6044921875kW,false,66.5°F,partlyCloudy
2019-05-10T22:45:00-04:00 New_York,483.4352111816406kW,false,66.25°F,partlyCloudy
2019-05-10T23:00:00-04:00 New_York,420.7085266113281kW,false,66°F,cloudy
2019-05-10T23:15:00-04:00 New_York,375.9068908691406kW,false,65.75°F,cloudy
2019-05-10T23:30:00-04:00 New_York,373.320068359375kW,false,65.5°F,cloudy
2019-05-10T23:45:00-04:00 New_York,336.12774658203125kW,false,65.25°F,cloudy
2019-05-11T00:00:00-04:00 New_York,311.1697082519531kW,false,65°F,cloudy
2019-05-11T00:15:00-04:00 New_York,317.3249816894531kW,false,64.5°F,cloudy
2019-05-11T00:30:00-04:00 New_York,307.4676208496094kW,false,64°F,cloudy
2019-05-11T00:45:00-04:00 New_York,290.7116394042969kW,false,63.5°F,cloudy
2019-05-11T01:00:00-04:00 New_York,294.949951171875kW,false,63°F,cloudy
2019-05-11T01:15:00-04:00 New_York,291.1556091308594kW,false,62.5°F,cloudy
2019-05-11T01:30:00-04:00 New_York,288.6344909667969kW,false,62°F,cloudy
2019-05-11T01:45:00-04:00 New_York,285.3336486816406kW,false,61.5°F,cloudy
2019-05-11T02:00:00-04:00 New_York,285.96826171875kW,false,61°F,partlyCloudy
2019-05-11T02:15:00-04:00 New_York,290.5009765625kW,false,60.5°F,partlyCloudy
2019-05-11T02:30:00-04:00 New_York,295.8310546875kW,false,60°F,partlyCloudy
2019-05-11T02:45:00-04:00 New_York,289.31427001953125kW,false,59.5°F,partlyCloudy
2019-05-11T03:00:00-04:00 New_York,280.83526611328125kW,false,59°F,partlyCloudy
2019-05-11T03:15:00-04:00 New_York,275.803466796875kW,false,58.75°F,partlyCloudy
2019-05-11T03:30:00-04:00 New_York,280.17889404296875kW,false,58.5°F,partlyCloudy
2019-05-11T03:45:00-04:00 New_York,267.0058288574219kW,false,58.25°F,partlyCloudy
2019-05-11T04:00:00-04:00 New_York,286.9217529296875kW,false,58°F,partlyCloudy
2019-05-11T04:15:00-04:00 New_York,270.34088134765625kW,false,57.75°F,partlyCloudy
2019-05-11T04:30:00-04:00 New_York,267.9305114746094kW,false,57.5°F,partlyCloudy
2019-05-11T04:45:00-04:00 New_York,264.2615051269531kW,false,57.25°F,partlyCloudy
2019-05-11T05:00:00-04:00 New_York,270.2172546386719kW,false,57°F,cloudy
2019-05-11T05:15:00-04:00 New_York,262.8009033203125kW,false,56.5°F,cloudy
2019-05-11T05:30:00-04:00 New_York,283.8363037109375kW,false,56°F,cloudy
2019-05-11T05:45:00-04:00 New_York,291.2564392089844kW,false,55.5°F,cloudy
2019-05-11T06:00:00-04:00 New_York,257.1242370605469kW,false,55°F,cloudy
2019-05-11T06:15:00-04:00 New_York,224.52560424804688kW,false,55°F,cloudy
2019-05-11T06:30:00-04:00 New_York,192.4629364013672kW,false,55°F,cloudy
2019-05-11T06:45:00-04:00 New_York,185.13172912597656kW,false,55°F,cloudy
2019-05-11T07:00:00-04:00 New_York,188.7929229736328kW,false,55°F,cloudy
2019-05-11T07:15:00-04:00 New_York,207.1940155029297kW,false,55°F,cloudy
2019-05-11T07:30:00-04:00 New_York,235.5750732421875kW,false,55°F,cloudy
2019-05-11T07:45:00-04:00 New_York,244.69732666015625kW,false,55°F,cloudy
2019-05-11T08:00:00-04:00 New_York,269.4359130859375kW,false,55°F,partlyCloudy
2019-05-11T08:15:00-04:00 New_York,318.0130310058594kW,false,55.25°F,partlyCloudy
2019-05-11T08:30:00-04:00 New_York,423.24481201171875kW,false,55.5°F,partlyCloudy
2019-05-11T08:45:00-04:00 New_York,566.4559936523438kW,false,55.75°F,partlyCloudy
2019-05-11T09:00:00-04:00 New_York,702.5722045898438kW,false,56°F,partlyCloudy
2019-05-11T09:15:00-04:00 New_York,748.0731201171875kW,false,56.25°F,partlyCloudy
2019-05-11T09:30:00-04:00 New_York,788.4732666015625kW,false,56.5°F,partlyCloudy
2019-05-11T09:45:00-04:00 New_York,924.9492797851562kW,false,56.75°F,partlyCloudy
2019-05-11T10:00:00-04:00 New_York,1134.2781982421875kW,true,57°F,partlyCloudy
2019-05-11T10:15:00-04:00 New_York,1190.50927734375kW,true,57.5°F,partlyCloudy
2019-05-11T10:30:00-04:00 New_York,1192.6962890625kW,true,58°F,partlyCloudy
2019-05-11T10:45:00-04:00 New_York,1206.7606201171875kW,true,58.5°F,partlyCloudy
2019-05-11T11:00:00-04:00 New_York,1234.2669677734375kW,true,59°F,partlyCloudy
2019-05-11T11:15:00-04:00 New_York,1247.0831298828125kW,true,59.5°F,partlyCloudy
2019-05-11T11:30:00-04:00 New_York,1264.3935546875kW,true,60°F,partlyCloudy
2019-05-11T11:45:00-04:00 New_York,1288.9932861328125kW,true,60.5°F,partlyCloudy
2019-05-11T12:00:00-04:00 New_York,1291.1484375kW,true,61°F,partlyCloudy
2019-05-11T12:15:00-04:00 New_York,1331.0526123046875kW,true,61.25°F,partlyCloudy
2019-05-11T12:30:00-04:00 New_York,1321.9735107421875kW,true,61.5°F,partlyCloudy
2019-05-11T12:45:00-04:00 New_York,1360.3792724609375kW,true,61.75°F,partlyCloudy
2019-05-11T13:00:00-04:00 New_York,1386.59814453125kW,true,62°F,partlyCloudy
2019-05-11T13:15:00-04:00 New_York,1385.578125kW,true,62.25°F,partlyCloudy
2019-05-11T13:30:00-04:00 New_York,1400.0894775390625kW,true,62.5°F,partlyCloudy
2019-05-11T13:45:00-04:00 New_York,1398.9896240234375kW,true,62.75°F,partlyCloudy
2019-05-11T14:00:00-04:00 New_York,1372.6439208984375kW,true,63°F,partlyCloudy
2019-05-11T14:15:00-04:00 New_York,1376.3328857421875kW,true,63.25°F,partlyCloudy
2019-05-11T14:30:00-04:00 New_York,1394.246826171875kW,true,63.5°F,partlyCloudy
2019-05-11T14:45:00-04:00 New_York,1391.6488037109375kW,true,63.75°F,partlyCloudy
2019-05-11T15:00:00-04:00 New_York,1408.432861328125kW,true,64°F,partlyCloudy
2019-05-11T15:15:00-04:00 New_York,1441.9671630859375kW,true,63.75°F,partlyCloudy
2019-05-11T15:30:00-04:00 New_York,1457.3447265625kW,true,63.5°F,partlyCloudy
2019-05-11T15:45:00-04:00 New_York,1405.4737548828125kW,true,63.25°F,partlyCloudy
2019-05-11T16:00:00-04:00 New_York,1412.610595703125kW,true,63°F,partlyCloudy
2019-05-11T16:15:00-04:00 New_York,1429.9906005859375kW,true,63.75°F,partlyCloudy
2019-05-11T16:30:00-04:00 New_York,1412.9501953125kW,true,64.5°F,partlyCloudy
2019-05-11T16:45:00-04:00 New_York,1445.1912841796875kW,true,65.25°F,partlyCloudy
2019-05-11T17:00:00-04:00 New_York,1477.964599609375kW,true,66°F,partlyCloudy
2019-05-11T17:15:00-04:00 New_York,1555.9080810546875kW,true,66°F,partlyCloudy
2019-05-11T17:30:00-04:00 New_York,1523.070556640625kW,true,66°F,partlyCloudy
2019-05-11T17:45:00-04:00 New_York,1521.7164306640625kW,true,66°F,partlyCloudy
2019-05-11T18:00:00-04:00 New_York,1583.0269775390625kW,true,66°F,partlyCloudy
2019-05-11T18:15:00-04:00 New_York,1537.7462158203125kW,true,65.5°F,partlyCloudy
2019-05-11T18:30:00-04:00 New_York,1550.7593994140625kW,true,65°F,partlyCloudy
2019-05-11T18:45:00-04:00 New_York,1551.3095703125kW,true,64.5°F,partlyCloudy
2019-05-11T19:00:00-04:00 New_York,1512.1817626953125kW,true,64°F,partlyCloudy
2019-05-11T19:15:00-04:00 New_York,1579.802978515625kW,true,63.5°F,partlyCloudy
2019-05-11T19:30:00-04:00 New_York,1623.3173828125kW,true,63°F,partlyCloudy
2019-05-11T19:45:00-04:00 New_York,1654.8330078125kW,true,62.5°F,partlyCloudy
2019-05-11T20:00:00-04:00 New_York,1641.5531005859375kW,true,62°F,partlyCloudy
